GEOID,county_name,year,median_income,median_rent,median_home_value,poverty_population,total_population,renter_total,rent30_34,rent35_39,rent40_49,rent50_plus,poverty_rate,rent_to_income_ratio,rent_burden_rate,income_score,rent_score,poverty_score,burden_score,ratio_score,housing_stress_index
41017,Deschutes,2019,67043,1208,364600,19976,185187,24588,2060,1906,1770,5882,0.10786934288043977,0.2162194412541205,0.4725069139417602,0.5619664542503306,0.49777777777777776,0.3390240156543127,0.7656664075369213,0.5606847700812321,0.5450238850601149
41003,Benton,2019,62077,1081,331300,16319,85469,15280,1085,916,1259,5004,0.19093472487100585,0.20896628380881807,0.5408376963350785,0.6366027413730913,0.3848888888888889,0.8378871468317807,0.931418193387851,0.5062668803234118,0.6594127701610046
41015,Curry,2019,48440,888,265400,2796,22485,3020,296,191,361,586,0.12434956637758506,0.21998348472336912,0.47483443708609274,0.8415594565348082,0.21333333333333335,0.4379987714343331,0.771312341979203,0.5889250646147357,0.5706257935792826
41061,Union,2019,52171,818,185400,3573,25679,3797,387,260,224,567,0.13914093227929436,0.18815050506986641,0.37872004213853044,0.7854845497174462,0.1511111111111111,0.5268308086957324,0.5381651124210962,0.350093412260467,0.4703369988411706
41055,Sherman,2019,51071,742,159800,220,1637,265,9,26,12,42,0.13439218081857054,0.17434551898337608,0.33584905660377357,0.8020169532283276,0.08355555555555555,0.49831138259895835,0.43417182909129515,0.2465194561416157,0.41291503532315044
41051,Multnomah,2019,69176,1237,386200,108947,790194,148340,12512,9366,13043,37548,0.13787373733538852,0.21458309240198914,0.4885330996359714,0.5299086208969581,0.5235555555555556,0.519220456195326,0.8045415499859544,0.5484078200615835,0.5851268005390755
41007,Clatsop,2019,54886,927,283900,3864,38506,5974,552,383,464,1014,0.10034799771464187,0.20267463469737274,0.4039169735520589,0.7446795719610436,0.248,0.2938533114432301,0.5992859752807629,0.4590628494825724,0.4689763416335218
41033,Josephine,2019,45616,908,265500,15384,84901,12251,1136,1087,1039,3382,0.1811992791604339,0.2388635566467906,0.5423230756672924,0.8840026451845617,0.2311111111111111,0.7794192891731504,0.9350213173146831,0.7305756051271136,0.712025993582124
41031,Jefferson,2019,53277,839,224600,4017,22434,2584,260,129,221,431,0.17905857181064455,0.1889746044259249,0.40286377708978327,0.7688619694601418,0.16977777777777778,0.7665629109099188,0.596731208770565,0.3562763399365408,0.5316420413709888
41039,Lane,2019,52426,989,263200,64457,365808,62953,5276,4220,5404,17726,0.17620445698289813,0.2263762255369473,0.5182596540276079,0.7816520379944691,0.3031111111111111,0.7494220439736622,0.8766500390889614,0.6368875509480391,0.6695445566232486
41023,Grant,2019,44712,704,144800,1283,7083,977,143,51,41,102,0.181137935902866,0.18894256575415996,0.34493346980552714,0.8975892749789588,0.049777777777777775,0.779050881915956,0.4562081304310213,0.3560359650486056,0.5077324060304639
41019,Douglas,2019,47267,824,199200,15801,107837,14470,768,957,1385,2570,0.14652670233778758,0.20919457549664672,0.3925362819626814,0.8591890104605026,0.15644444444444444,0.571187293783048,0.571679530731367,0.5079796725790015,0.5332959903996727
41045,Malheur,2019,43313,688,135900,5808,26651,4197,290,239,337,724,0.21792803271922254,0.1906125181816083,0.3788420300214439,0.9186154863532524,0.035555555555555556,1,0.5384610216546345,0.36856503087724596,0.5722394188881377
41043,Linn,2019,55893,964,221600,16376,123415,17014,1501,1386,1391,3602,0.13269051573957785,0.20696688315173636,0.4631479957681909,0.7295449080197187,0.2808888888888889,0.48809174658237975,0.7429642322278102,0.49126608027746044,0.5465511711992516
41047,Marion,2019,59625,985,247100,46970,330063,46937,3742,3462,4002,10870,0.14230616579259112,0.1982389937106918,0.47033257344951745,0.6734549717446194,0.2995555555555556,0.5458401512583225,0.760392052304711,0.4257837949413254,0.5410053051609067
41065,Wasco,2019,53105,842,212900,2969,25660,3897,196,159,308,614,0.11570537802026501,0.19026457019113077,0.32768796510136,0.7714470361909342,0.17244444444444446,0.3860846434657138,0.4143752536147912,0.365954499459715,0.4220611754351197
41021,Gilliam,2019,47500,919,115900,194,1868,275,20,10,20,31,0.10385438972162742,0.23216842105263158,0.29454545454545455,0.8556871468077432,0.2408888888888889,0.31491153875553113,0.33398058930956015,0.6803443570914641,0.48516250417063755
41001,Baker,2019,45998,674,173100,1921,15446,2028,124,88,132,410,0.1243687686132332,0.175833731901387,0.3717948717948718,0.8782613923289648,0.02311111111111111,0.43811409369219173,0.5213665435831728,0.25768499433918146,0.42370762701092435
41029,Jackson,2019,53412,993,280300,33234,214204,32449,2944,2279,2760,8682,0.15515116431065712,0.22309593349809032,0.5135751486948751,0.7668329926656247,0.30666666666666664,0.6229829516299635,0.8652867106221621,0.6122766732868095,0.6348091989742454
